Year,Month,Platform,Channel,KPI, Actual , Target 
2025,Jan,Customer Portal,Total,Registered Customers,8473,7857
2025,Jan,Customer Portal,Total,Active Customers,1913,1963
2025,Jan,Customer Portal,Total,Delivered Orders,4099,4203
2025,Jan,Customer Portal,Total,Order Frequency,2.1,
2025,Jan,Customer Portal,Total,Fulfillment Rate %,74,
2025,Jan,Customer Portal,Total,Digital Order Share %,2.76,
2025,Jan,Customer Portal,Total,Volume UC,603304,327918
2025,Jan,Customer Portal,Total,UC per Order,109,
2025,Jan,Customer Portal,Total,Digital Volume Share %,4.83,
2025,Jan,Customer Portal,Total,Active Placed,2743,
2025,Jan,Customer Portal,Total,NSR,54910244,26531849
2025,Feb,Customer Portal,Total,Registered Customers,9305,8482
2025,Feb,Customer Portal,Total,Active Customers,2108,2118
2025,Feb,Customer Portal,Total,Delivered Orders,4281,4672
2025,Feb,Customer Portal,Total,Order Frequency,2,
2025,Feb,Customer Portal,Total,Fulfillment Rate %,76,
2025,Feb,Customer Portal,Total,Digital Order Share %,2.45,
2025,Feb,Customer Portal,Total,Volume UC,711071,494564
2025,Feb,Customer Portal,Total,UC per Order,126,
2025,Feb,Customer Portal,Total,Digital Volume Share %,4.19,
2025,Feb,Customer Portal,Total,Active Placed,3133,
2025,Feb,Customer Portal,Total,NSR,60802839,38743899
2025,Mar,Customer Portal,Total,Registered Customers,8914,9137
2025,Mar,Customer Portal,Total,Active Customers,1717,2284
2025,Mar,Customer Portal,Total,Delivered Orders,4608,5155
2025,Mar,Customer Portal,Total,Order Frequency,2.7,
2025,Mar,Customer Portal,Total,Fulfillment Rate %,78,
2025,Mar,Customer Portal,Total,Digital Order Share %,2.01,
2025,Mar,Customer Portal,Total,Volume UC,872074,871822
2025,Mar,Customer Portal,Total,UC per Order,147,
2025,Mar,Customer Portal,Total,Digital Volume Share %,3.35,
2025,Mar,Customer Portal,Total,Active Placed,2476,
2025,Mar,Customer Portal,Total,NSR,75207833,68973058
2025,Apr,Customer Portal,Total,Registered Customers,9621,10317
2025,Apr,Customer Portal,Total,Active Customers,1773,2542
2025,Apr,Customer Portal,Total,Delivered Orders,5291,5676
2025,Apr,Customer Portal,Total,Order Frequency,3,
2025,Apr,Customer Portal,Total,Fulfillment Rate %,77,
2025,Apr,Customer Portal,Total,Digital Order Share %,2.79,
2025,Apr,Customer Portal,Total,Volume UC,1098099,653889
2025,Apr,Customer Portal,Total,UC per Order,159,
2025,Apr,Customer Portal,Total,Active Placed,2360,
2025,Apr,Customer Portal,Total,NSR,96588674,93866058
2025,Apr,Customer Portal,Total,Digital Volume Share %,5.15,
2025,May,Customer Portal,Total,Registered Customers,10087,10817
2025,May,Customer Portal,Total,Active Customers,2321,2680
2025,May,Customer Portal,Total,Delivered Orders,8433,6071
2025,May,Customer Portal,Total,Order Frequency,3.6,
2025,May,Customer Portal,Total,Fulfillment Rate %,83,
2025,May,Customer Portal,Total,Digital Order Share %,3.62,
2025,May,Customer Portal,Total,Volume UC,1905166,834075
2025,May,Customer Portal,Total,UC per Order,189,
2025,May,Customer Portal,Total,Digital Volume Share %,7.6,
2025,May,Customer Portal,Total,Active Placed,2643,
2025,May,Customer Portal,Total,NSR,172720844,156442853
2025,Jun,Customer Portal,Total,Registered Customers,11830,11317
2025,Jun,Customer Portal,Total,Active Customers,4494,2818
2025,Jun,Customer Portal,Total,Delivered Orders,16439,6468
2025,Jun,Customer Portal,Total,Order Frequency,3.7,
2025,Jun,Customer Portal,Total,Fulfillment Rate %,81,
2025,Jun,Customer Portal,Total,Digital Order Share %,5.41,
2025,Jun,Customer Portal,Total,Volume UC,3560730,1466992
2025,Jun,Customer Portal,Total,UC per Order,175,
2025,Jun,Customer Portal,Total,Digital Volume Share %,9.38,
2025,Jun,Customer Portal,Total,Active Placed,4877,
2025,Jun,Customer Portal,Total,NSR,303197619,298041380
2025,Jul,Customer Portal,Total,Registered Customers,13401,12386
2025,Jul,Customer Portal,Total,Active Customers,6235,4739
2025,Jul,Customer Portal,Total,Delivered Orders,18022,13359
2025,Jul,Customer Portal,Total,Order Frequency,2.9,
2025,Jul,Customer Portal,Total,Fulfillment Rate %,77,
2025,Jul,Customer Portal,Total,Digital Order Share %,6.37,
2025,Jul,Customer Portal,Total,Volume UC,3679584,2962485
2025,Jul,Customer Portal,Total,UC per Order,158,
2025,Jul,Customer Portal,Total,Digital Volume Share %,10.67,
2025,Jul,Customer Portal,Total,Active Placed,6882,
2025,Jul,Customer Portal,Total,NSR,315397867,255951130
2025,Aug,Customer Portal,Total,Registered Customers,13975,12949
2025,Aug,Customer Portal,Total,Active Customers,6611,4968
2025,Aug,Customer Portal,Total,Delivered Orders,21518,14175
